27-4-2021,13:58:46,LS,A
27-4-2021,13:58:52,LO,A
27-4-2021,13:58:59,LS,admin
27-4-2021,14:12:42,LS,admin
27-4-2021,14:13:44,LS,admin
27-4-2021,14:14:47,LS,admin
27-4-2021,14:15:6,LS,admin
27-4-2021,14:15:21,LS,admin
27-4-2021,14:30:28,LF,
27-4-2021,14:30:38,LS,A
27-4-2021,14:30:46,SPC,A
27-4-2021,14:31:46,LS,A
27-4-2021,14:31:58,SPC,A
27-4-2021,14:33:11,LS,A
27-4-2021,14:35:2,LS,A
27-4-2021,14:35:12,SPC,A
27-4-2021,14:36:36,LS,A
27-4-2021,14:36:50,FPC,A
27-4-2021,14:37:3,FPC,A
27-4-2021,14:37:15,FPC,A
27-4-2021,14:37:41,FPC,A
27-4-2021,14:42:35,LF,
27-4-2021,14:43:2,LF,
27-4-2021,14:43:16,LF,
27-4-2021,14:43:26,LF,
27-4-2021,14:43:33,LF,
27-4-2021,14:45:35,LF,
27-4-2021,14:46:35,L1,D
27-4-2021,14:46:35,LS,D
27-4-2021,14:46:43,LO,D
27-4-2021,14:46:50,LF,
